Tienda,Marca,Tipo,Género,Talla,Color,Categoria,precio de venta S/,Fecha,Hora
Lima,Nike,Dri-Fit No-Show,Usinex,40-42,Negro,Ropa interior,20.0,16/07/2015,11:42:00
Lima,Asics,Hera Deux Single Tab,Femenino,38-40,Rosado,Ropa interior,12.99,19/07/2015,09:57:00
Lima,Asics,MB1878,Masculino,43,Negro,Pantalon,99.0,18/07/2015,22:06:00
Lima,Nike,Free 5.0,Femenino,45,Gris,Zapatillas,239.0,15/07/2015,10:32:00
Lima,Asics,Cummulus 17,Masculino,44,Negro,Zapatillas,159.0,19/07/2015,21:54:00
Lima,Asics,Hera Deux Single Tab,Femenino,42-44,Rosado,Ropa interior,12.99,17/07/2015,12:38:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,40-42,Azul,Ropa interior,21.0,15/07/2015,20:39:00
Lima,Nike,Free 5.0,Femenino,42,Azul,Zapatillas,239.0,15/07/2015,14:13:00
Lima,Nike,Air Zoom,Masculino,44,Gris,Zapatillas,220.0,17/07/2015,12:24:00
Lima,Asics,WB1820,Femenino,39,Rosado,Pantalon,89.0,15/07/2015,13:05:00
Lima,Asics,Hera Deux Single Tab,Femenino,36-38,Azul,Ropa interior,12.99,16/07/2015,16:58:00
Lima,Asics,Cummulus 17,Masculino,39,Amarillo,Zapatillas,159.0,16/07/2015,11:32:00
Lima,Asics,WB1820,Femenino,42,Azul,Pantalon,89.0,16/07/2015,16:45:00
Lima,Asics,MB1878,Masculino,36,Negro,Pantalon,99.0,16/07/2015,11:38:00
Lima,Asics,Kayano Single Tab,Usinex,44-46,Rosado,Ropa interior,24.99,15/07/2015,14:32:00
Lima,Adidas,Boston 5,Femenino,40,Azul,Zapatillas,120.0,18/07/2015,13:31:00
Lima,Asics,WB1820,Femenino,36,Azul,Pantalon,89.0,17/07/2015,09:47:00
Lima,Nike,Hyper Elite Crew,Usinex,46-48,Rosado,Ropa interior,20.0,16/07/2015,18:10:00
Lima,Asics,Kayano Single Tab,Usinex,44-46,Verde,Ropa interior,24.99,19/07/2015,13:04:00
Lima,Asics,WB1820,Femenino,41,Multicolor,Pantalon,89.0,16/07/2015,10:50:00
Lima,Nike,Free 5.0,Masculino,44,Azul,Zapatillas,239.0,16/07/2015,08:28:00
Lima,Adidas,Boston 5,Masculino,42,Multicolor,Zapatillas,125.0,16/07/2015,18:01:00
Lima,Asics,WB1820,Femenino,43,Amarillo,Pantalon,89.0,16/07/2015,12:21:00
Lima,Adidas,Boston 5,Masculino,39,Rosado,Zapatillas,125.0,17/07/2015,11:38:00
Lima,Asics,WB2585,Femenino,40,Negro,Pantalon,99.0,15/07/2015,17:44:00
Lima,Asics,WB1820,Femenino,41,Negro,Pantalon,89.0,17/07/2015,18:36:00
Lima,Nike,Pro Fierce,Femenino,85C,Amarillo,Sujetadores,149.0,17/07/2015,16:39:00
Lima,Asics,Hera Deux Single Tab,Femenino,36-38,Azul,Ropa interior,12.99,18/07/2015,12:31:00
Lima,Nike,Nike Elite Match Fit Mercurial Crew,Usinex,38-40,Verde,Ropa interior,21.0,17/07/2015,15:37:00
Lima,Adidas,Rocket Boost,Masculino,39,Amarillo,Zapatillas,110.0,16/07/2015,11:30:00
Lima,Asics,WB1820,Femenino,37,Rosado,Pantalon,89.0,15/07/2015,07:52:00
Lima,Asics,Kayano Single Tab,Usinex,42-44,Verde,Ropa interior,24.99,15/07/2015,13:28:00
Lima,Nike,Pro Fierce,Femenino,75C,Amarillo,Sujetadores,149.0,18/07/2015,07:53:00
